Start Date,40182
End Date,
,
,.BZXEM F Index
,Last Price
Dates,PX_LAST
10-Nov-10,4.0653
11-Nov-10,4.074
12-Nov-10,3.8902
15-Nov-10,3.8288
16-Nov-10,3.9473
17-Nov-10,4.0272
18-Nov-10,4.006
19-Nov-10,3.9463
22-Nov-10,4.3288
23-Nov-10,4.1227
24-Nov-10,3.8768
25-Nov-10,3.8106
26-Nov-10,3.6407
29-Nov-10,3.6661
30-Nov-10,3.5027
1-Dec-10,3.4633
2-Dec-10,3.6153
3-Dec-10,3.6012
6-Dec-10,3.6012
7-Dec-10,3.6016
8-Dec-10,3.6667
9-Dec-10,3.5179
10-Dec-10,3.4217
13-Dec-10,3.4847
14-Dec-10,3.3951
15-Dec-10,3.4531
16-Dec-10,3.5289
17-Dec-10,3.583
20-Dec-10,3.4879
21-Dec-10,3.5555
22-Dec-10,3.3319
23-Dec-10,3.3249
24-Dec-10,3.2146
27-Dec-10,3.2139
28-Dec-10,3.1655
29-Dec-10,3.2224
30-Dec-10,3.2396
31-Dec-10,3.229
3-Jan-11,3.0083
4-Jan-11,3.1185
5-Jan-11,3.1858
6-Jan-11,3.1719
7-Jan-11,3.3315
10-Jan-11,3.4801
11-Jan-11,3.423
12-Jan-11,3.3946
13-Jan-11,3.4912
14-Jan-11,3.4859
17-Jan-11,3.4214
18-Jan-11,3.3973
19-Jan-11,3.2915
20-Jan-11,3.37
21-Jan-11,3.2799
24-Jan-11,3.2246
25-Jan-11,3.2033
26-Jan-11,3.3435
27-Jan-11,3.2828
28-Jan-11,3.0296
31-Jan-11,3.2078
1-Feb-11,3.3432
2-Feb-11,3.1916
3-Feb-11,3.1889
4-Feb-11,3.2867
7-Feb-11,3.2413
8-Feb-11,2.9356
9-Feb-11,2.9727
10-Feb-11,3.1297
11-Feb-11,3.3969
14-Feb-11,3.2912
15-Feb-11,3.222
16-Feb-11,3.189
17-Feb-11,3.099
18-Feb-11,3.0545
21-Feb-11,3.074
22-Feb-11,2.9972
23-Feb-11,3.0494
24-Feb-11,2.946
25-Feb-11,2.8977
28-Feb-11,2.9561
1-Mar-11,2.921
2-Mar-11,3.0489
3-Mar-11,3.1443
4-Mar-11,3.1915
7-Mar-11,3.2028
8-Mar-11,3.2645
9-Mar-11,3.2838
10-Mar-11,3.2775
11-Mar-11,3.2778
14-Mar-11,3.3096
15-Mar-11,3.4419
16-Mar-11,3.5363
17-Mar-11,3.5381
18-Mar-11,3.5231
21-Mar-11,3.6302
22-Mar-11,3.528
23-Mar-11,3.5309
24-Mar-11,3.4186
25-Mar-11,3.388
28-Mar-11,3.3584
29-Mar-11,3.4932
30-Mar-11,3.4586
31-Mar-11,3.5757
1-Apr-11,3.4617
4-Apr-11,3.4896
5-Apr-11,3.5227
6-Apr-11,3.6429
7-Apr-11,3.5921
8-Apr-11,3.5624
11-Apr-11,3.6307
12-Apr-11,3.6394
13-Apr-11,3.5576
14-Apr-11,3.4972
15-Apr-11,3.6629
18-Apr-11,3.6847
19-Apr-11,3.6977
20-Apr-11,3.6576
21-Apr-11,3.673
22-Apr-11,3.6726
25-Apr-11,3.8366
26-Apr-11,3.7085
27-Apr-11,3.5695
28-Apr-11,3.4819
29-Apr-11,3.5581
2-May-11,3.5322
3-May-11,3.5829
4-May-11,3.6172
5-May-11,3.5735
6-May-11,3.5733
9-May-11,3.4816
10-May-11,3.5522
11-May-11,3.4505
12-May-11,3.4929
13-May-11,3.4126
16-May-11,3.4284
17-May-11,3.4132
18-May-11,3.385
19-May-11,3.5929
20-May-11,3.6942
23-May-11,3.6516
24-May-11,3.6768
25-May-11,3.8039
26-May-11,3.7841
27-May-11,3.8379
30-May-11,3.8838
31-May-11,3.7404
1-Jun-11,3.7833
2-Jun-11,3.8771
3-Jun-11,3.7961
6-Jun-11,3.8438
7-Jun-11,3.8468
8-Jun-11,3.7579
9-Jun-11,3.3788
10-Jun-11,3.291
13-Jun-11,3.6187
14-Jun-11,3.5876
15-Jun-11,3.4562
16-Jun-11,3.4215
17-Jun-11,3.4343
20-Jun-11,3.4682
21-Jun-11,3.5698
22-Jun-11,3.5478
23-Jun-11,3.5564
24-Jun-11,3.5939
27-Jun-11,3.5345
28-Jun-11,3.5596
29-Jun-11,3.4607
30-Jun-11,3.586
1-Jul-11,3.4607
4-Jul-11,3.465
5-Jul-11,3.5036
6-Jul-11,3.4155
7-Jul-11,3.5238
8-Jul-11,3.6271
11-Jul-11,3.5788
12-Jul-11,3.7242
13-Jul-11,3.6633
14-Jul-11,3.7577
15-Jul-11,3.8502
18-Jul-11,3.7457
19-Jul-11,3.7237
20-Jul-11,3.8228
21-Jul-11,3.7846
22-Jul-11,3.7293
25-Jul-11,3.8694
26-Jul-11,3.9155
27-Jul-11,3.9091
28-Jul-11,4.1986
29-Jul-11,4.2157
1-Aug-11,4.1663
2-Aug-11,4.0458
3-Aug-11,4.1309
4-Aug-11,4.1473
5-Aug-11,4.1206
8-Aug-11,3.9732
9-Aug-11,3.9375
10-Aug-11,4.0493
11-Aug-11,4.2108
12-Aug-11,3.7344
15-Aug-11,3.8942
16-Aug-11,3.8859
17-Aug-11,3.8293
18-Aug-11,3.7634
19-Aug-11,3.9264
22-Aug-11,3.9902
23-Aug-11,3.8934
24-Aug-11,3.7653
25-Aug-11,3.7552
26-Aug-11,3.611
29-Aug-11,3.2081
30-Aug-11,3.4114
31-Aug-11,3.5062
1-Sep-11,3.4094
2-Sep-11,3.7223
5-Sep-11,3.5495
6-Sep-11,3.4455
7-Sep-11,3.3975
8-Sep-11,3.5294
9-Sep-11,3.3522
12-Sep-11,3.1317
13-Sep-11,3.3517
14-Sep-11,3.2938
15-Sep-11,3.2569
16-Sep-11,3.3138
19-Sep-11,3.1745
20-Sep-11,3.303
21-Sep-11,3.3735
22-Sep-11,3.2316
23-Sep-11,2.6819
26-Sep-11,2.3971
27-Sep-11,2.9301
28-Sep-11,2.7722
29-Sep-11,2.7439
30-Sep-11,2.4712
3-Oct-11,2.2926
4-Oct-11,2.3661
5-Oct-11,2.4641
6-Oct-11,2.6618
7-Oct-11,2.7974
10-Oct-11,2.8339
11-Oct-11,2.811
12-Oct-11,2.9143
13-Oct-11,2.9191
14-Oct-11,3.0954
17-Oct-11,3.0446
18-Oct-11,2.9445
19-Oct-11,2.8886
20-Oct-11,2.9938
21-Oct-11,3.0023
24-Oct-11,3.0138
25-Oct-11,3.1503
26-Oct-11,3.0526
27-Oct-11,3.4564
28-Oct-11,3.362
31-Oct-11,3.1342
1-Nov-11,3.052
2-Nov-11,3.1395
3-Nov-11,3.1612
4-Nov-11,3.1604
7-Nov-11,3.0296
8-Nov-11,2.8982
9-Nov-11,2.7448
10-Nov-11,2.775
11-Nov-11,2.8363
14-Nov-11,2.826
15-Nov-11,2.8007
16-Nov-11,2.6918
17-Nov-11,2.6518
18-Nov-11,2.6505
21-Nov-11,2.6531
22-Nov-11,2.65
23-Nov-11,2.5866
24-Nov-11,2.5801
25-Nov-11,2.5252
28-Nov-11,2.6841
29-Nov-11,2.8397
30-Nov-11,2.9404
1-Dec-11,2.8978
2-Dec-11,2.9949
5-Dec-11,3.1197
6-Dec-11,3.1298
7-Dec-11,3.0136
8-Dec-11,2.9548
9-Dec-11,2.9538
12-Dec-11,2.8992
13-Dec-11,2.9541
14-Dec-11,2.9705
15-Dec-11,2.7864
16-Dec-11,3.0666
19-Dec-11,3.1132
20-Dec-11,3.0777
21-Dec-11,3.0857
22-Dec-11,3.206
23-Dec-11,3.2346
26-Dec-11,3.2438
27-Dec-11,3.133
28-Dec-11,3.1472
29-Dec-11,3.2954
30-Dec-11,3.3207
2-Jan-12,3.1432
3-Jan-12,3.2409
4-Jan-12,3.3726
5-Jan-12,3.4461
6-Jan-12,3.4247
9-Jan-12,3.4949
10-Jan-12,3.603
11-Jan-12,3.6607
12-Jan-12,3.8131
13-Jan-12,3.7295
16-Jan-12,3.6145
17-Jan-12,3.7012
18-Jan-12,3.7551
19-Jan-12,3.8902
20-Jan-12,3.8929
23-Jan-12,4.029
