12/jan/10;4,3592
13/jan/10;4,2166
14/jan/10;4,49
15/jan/10;4,3429
18/jan/10;4,281
19/jan/10;4,3701
20/jan/10;4,4317
21/jan/10;4,4336
22/jan/10;4,4731
25/jan/10;4,5001
26/jan/10;4,616
27/jan/10;4,6201
28/jan/10;4,5576
29/jan/10;4,6245
1/fev/10;4,5324
2/fev/10;4,3186
3/fev/10;4,3215
4/fev/10;4,2854
11/jun/14;4,1564
12/jun/14;4,2323
13/jun/14;4,0795
16/jun/14;4,2297
17/jun/14;4,2031
18/jun/14;4,0753
19/jun/14;4,164
20/jun/14;4,2208
23/jun/14;4,305
24/jun/14;4,1994
25/jun/14;4,1999
26/jun/14;4,1837
27/jun/14;4,3868
30/jun/14;4,4439
1/jul/14;4,1977
2/jul/14;4,1744
3/jul/14;4,2004
4/jul/14;4,2578
7/jul/14;4,2293
8/jul/14;4,2769
9/jul/14;4,2591
10/jul/14;4,3423
11/jul/14;4,3063
14/jul/14;4,2304
15/jul/14;4,2457
16/jul/14;4,2203
17/jul/14;4,1594
18/jul/14;4,0075
21/jul/14;3,8913
22/jul/14;3,7628
23/jul/14;3,8196
24/jul/14;3,7779
25/jul/14;3,8093
28/jul/14;3,8111
29/jul/14;3,8832
30/jul/14;3,9032
31/jul/14;4,0614
1/ago/14;4,2903
4/ago/14;4,0307
5/ago/14;4,1318
6/ago/14;3,8831
7/ago/14;3,9568
8/ago/14;3,9322
11/ago/14;3,885
12/ago/14;3,824
13/ago/14;3,9239
14/ago/14;3,9111
15/ago/14;3,6347
18/ago/14;3,5452
19/ago/14;3,5171
20/ago/14;3,5686
21/ago/14;3,7709
22/ago/14;3,5464
25/ago/14;3,418
26/ago/14;3,3596
27/ago/14;3,1339
28/ago/14;2,8942
29/ago/14;2,8071
1/set/14;2,6102
2/set/14;2,4055
3/set/14;2,7156
4/set/14;2,6802
5/set/14;2,7333
8/set/14;2,8507
9/set/14;3,0298
10/set/14;2,9787
11/set/14;2,8426
12/set/14;3,1355
15/set/14;3,0115
16/set/14;2,8389
17/set/14;2,8743
18/set/14;2,857
19/set/14;2,89
22/set/14;3,3535
23/set/14;3,4026
24/set/14;3,1566
25/set/14;3,3249
26/set/14;3,1339
29/set/14;3,7697
30/set/14;3,6972
1/out/14;3,876
2/out/14;3,8528
3/out/14;3,4334
6/out/14;3,0256
7/out/14;2,7055
8/out/14;2,7263
9/out/14;2,6196
10/out/14;2,4395
13/out/14;2,1595
14/out/14;2,191
15/out/14;2,6192
16/out/14;2,7492
17/out/14;2,5058
20/out/14;2,6892
21/out/14;3,1799
22/out/14;3,3226
23/out/14;3,4208
24/out/14;3,3613
27/out/14;3,9071
28/out/14;3,5479
29/out/14;3,7711
30/out/14;3,4584
31/out/14;3,3513
3/nov/14;3,4016
4/nov/14;3,6049
5/nov/14;3,5176
6/nov/14;3,8982
7/nov/14;3,8397
10/nov/14;4,0336
11/nov/14;4,0146
12/nov/14;4,156
13/nov/14;4,1013
14/nov/14;4,2281
17/nov/14;4,2345
18/nov/14;4,233
19/nov/14;3,9792
20/nov/14;3,9737
21/nov/14;3,4229
24/nov/14;3,2493
25/nov/14;3,225
26/nov/14;3,1469
27/nov/14;3,004
28/nov/14;2,8748
1/dez/14;2,8931
2/dez/14;2,8481
3/dez/14;2,9612
4/dez/14;2,8925
5/dez/14;2,8045
8/dez/14;2,91
9/dez/14;3,1463
10/dez/14;3,5153
11/dez/14;3,6138
12/dez/14;3,4103
15/dez/14;3,3345
16/dez/14;3,4075
17/dez/14;3,4545
18/dez/14;5,0158
19/dez/14;3,6629
22/dez/14;3,4405
23/dez/14;3,6256
24/dez/14;3,6496
25/dez/14;2,9589
26/dez/14;3,2388
29/dez/14;3,6212
30/dez/14;3,8885
31/dez/14;3,6649
1/jan/15;3,3745
2/jan/15;3,1442
5/jan/15;3,3417
6/jan/15;3,9189
7/jan/15;3,6707
8/jan/15;3,6405
9/jan/15;3,6106
12/jan/15;3,7058
13/jan/15;3,4228
14/jan/15;3,652
15/jan/15;2,8796
16/jan/15;2,74
19/jan/15;2,8271
20/jan/15;2,8567
21/jan/15;2,885
22/jan/15;3,0346
23/jan/15;2,6855
26/jan/15;3,0223
27/jan/15;2,7499
28/jan/15;2,9165
29/jan/15;3,1412
30/jan/15;2,9344
2/fev/15;3,2157
3/fev/15;3,1491
4/fev/15;3,4278
5/fev/15;3,44
6/fev/15;3,6825
9/fev/15;3,6968
10/fev/15;3,6898
11/fev/15;3,667
12/fev/15;3,5861
13/fev/15;3,7025
16/fev/15;3,5627
17/fev/15;3,4896
18/fev/15;3,6828
19/fev/15;3,8492
20/fev/15;3,8469
23/fev/15;3,6094
24/fev/15;3,7735
25/fev/15;3,8782
26/fev/15;3,6469
27/fev/15;3,589
2/mar/15;3,5698
3/mar/15;3,665
4/mar/15;3,8161
5/mar/15;3,8992
6/mar/15;4,0036
9/mar/15;4,3839
10/mar/15;4,1308
11/mar/15;4,1484
12/mar/15;4,4246
13/mar/15;4,3978
16/mar/15;4,3617
17/mar/15;4,2728
18/mar/15;4,3022
19/mar/15;4,4401
20/mar/15;4,6875
23/mar/15;4,4826
24/mar/15;4,5575
25/mar/15;4,4565
26/mar/15;4,4435
27/mar/15;4,4591
30/mar/15;4,3386
31/mar/15;4,4395
1/abr/15;4,2398
2/abr/15;4,4016
3/abr/15;4,1171
6/abr/15;4,0661
7/abr/15;4,4018
8/abr/15;4,1897
9/abr/15;4,3731
10/abr/15;3,687
13/abr/15;4,0977
14/abr/15;4,0091
15/abr/15;3,9026
16/abr/15;4,1021
17/abr/15;3,9526
20/abr/15;3,9119
21/abr/15;3,9216
22/abr/15;3,8011
23/abr/15;3,8534
24/abr/15;3,9195
27/abr/15;3,9621
28/abr/15;3,9892
29/abr/15;4,0822
30/abr/15;4,0469
1/mai/15;4,1415
4/mai/15;4,2035
5/mai/15;4,1586
6/mai/15;4,0847
7/mai/15;4,1355
8/mai/15;3,9421
11/mai/15;3,7512
12/mai/15;3,8681
13/mai/15;3,7921
14/mai/15;3,6386
15/mai/15;3,6374
18/mai/15;3,6802
19/mai/15;3,6616
20/mai/15;3,517
21/mai/15;3,4765
22/mai/15;3,2791
25/mai/15;3,3681
26/mai/15;3,4809
27/mai/15;3,5484
